epoch,acc,loss,val_acc,val_loss
0,0.26588375796178343,1.8492208038925366,0.31373641684857584,1.7064544238386086
1,0.36246019108280253,1.6181697426328234,0.3081638339411817,1.753412559170394
2,0.4384952229299363,1.4508628374452044,0.46113123432987857,1.4116008671321854
3,0.4830812101910828,1.3448601724235876,0.5247515556821587,1.220670495046993
4,0.5111464968152867,1.2726067025190706,0.4928020804337143,1.3364713584368104
5,0.5340764331210192,1.224789973732772,0.5361753506470913,1.210361011327005
6,0.5488057324840764,1.1824457715271386,0.509519829146209,1.2745252509430236
7,0.5642117834394904,1.1459176980765762,0.5501996842230708,1.1893877211615291
8,0.5759554140127389,1.1282817113171717,0.4899229126060929,1.3287716727962264
9,0.5839171974522293,1.100146394930068,0.5543791214281817,1.1817989693363806
10,0.5889729299363057,1.0910818121235841,0.5984025262707929,1.064900236596102
11,0.5973726114649681,1.071232790552127,0.3748490758993792,1.798110347256041
12,0.6022292993630574,1.0556247917709836,0.613820005611334,1.0218585800900923
13,0.607125796178344,1.0385127325726162,0.5726757685548252,1.1208514755921652
14,0.6141321656050955,1.0220013383087838,0.6108479614021763,1.0325721961891483
15,0.6192277070063694,1.0171730995178223,0.5984025262707929,1.07971598426202
16,0.6278662420382166,0.9963886712007461,0.6101049503443511,1.0298470067836187
17,0.6270302547770701,0.9914314157643895,0.6093619392616144,1.044454816701497
18,0.6363057324840764,0.9759037436953016,0.6177208136358533,1.0157035039839024
19,0.6375398089171974,0.9675845941920189,0.6314665180921355,0.9867594502945847
20,0.6388136942675159,0.9589349717091603,0.6183709482955349,1.005381170760249
21,0.650437898089172,0.940822982484368,0.6345314386634537,0.9757282008054784
22,0.6476114649681529,0.939641640900047,0.6191139593533601,1.0103881807837456
23,0.6502388535031847,0.9309756192432088,0.6428903130266209,0.9506621320588438
24,0.652547770700637,0.9215186034038568,0.6391752577541022,0.9401779849405042
25,0.6592356687898089,0.908549067321097,0.645119346189025,0.9590519168001148
26,0.6661226114649682,0.8964337546354646,0.62542955329782,1.009442504472893
27,0.660031847133758,0.8991427890814034,0.6398253924414631,0.9795325970133777
28,0.6675955414012739,0.888347837385858,0.6496702888787618,0.9510806213572706
29,0.6666799363057325,0.8864757439133468,0.6291446085648029,0.998611167755545
30,0.6730493630573249,0.8736293089617589,0.5994241664676909,1.1053627396599766
31,0.6754777070063694,0.8666944151471375,0.6505990526941235,0.9438718444481526
32,0.6819665605095542,0.8549441118908536,0.6585864215006987,0.9178664040419344
33,0.6820461783439491,0.8519959611497867,0.6485557722947918,0.948518171880176
34,0.6863057324840764,0.8361242981473351,0.6400111451934637,0.9831827635152588
35,0.6884554140127389,0.8297893167301348,0.6241292839452418,1.0012730532750076
36,0.692078025477707,0.8282157062724897,0.6400111452045354,0.9883900405836491
37,0.6927547770700637,0.8271311463064449,0.6584006687376264,0.9459519604404535
38,0.6985668789808918,0.8110063419979848,0.6381536175516684,1.0092217333084075
39,0.6965366242038217,0.8132526182065344,0.6623943531436819,0.9324612396943864
40,0.6979299363057325,0.8077098321003519,0.6593294325585239,0.9205904383728893
41,0.7014331210191083,0.8010182084551283,0.6485557722698804,0.9695167661410715
42,0.7017914012738854,0.8031726832602434,0.6597009380846687,0.943114743919617
43,0.7085589171974522,0.7836782701455863,0.6642518807744054,0.9249941920064957
44,0.7078821656050955,0.7793263816529779,0.6546856134706435,0.9672951430588853
45,0.7111863057324841,0.7744092274623312,0.6360174607874082,1.0088618422291942
46,0.7097133757961783,0.7766966099951678,0.6628587350458269,0.9472307398246835
47,0.7163216560509554,0.7660743322342065,0.6655521501159118,0.9488196987023845
48,0.7176353503184714,0.7582191661664635,0.6300733723690929,1.0325730136922888
49,0.719984076433121,0.754906416394908,0.6709389802394742,0.931189153064224
